ANO;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;NUM_EMP;HABITACIONES;CAMAS
2024;3;139838;50683;50;ACTIVO;MARTIN ORLANDO MORALES VARGAS;META;SAN JUAN DE ARAMA;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;3;6
2024;3;139839;50606;50;ACTIVO;ALEXANDER  GOMEZ CRUZ;META;RESTREPO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;1;10
2024;3;139842;50318;50;ACTIVO;FINCA TURISTICA SAN JOSE;META;GUAMAL;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;4;8
2024;1;139847;50606;50;ACTIVO;YULY ANDREA BLANCO  TOVAR;META;RESTREPO;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;4
2024;1;140200;50683;50;ACTIVO;AGROTURISMO INDIO ACOSTADO;META;SAN JUAN DE ARAMA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;1;0;0
2024;4;140471;50001;50;ACTIVO;FINCA LOS NARANJITOS LA MERCEDEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);1;7;28
2024;3;140704;50001;50;ACTIVO;HOTEL ECOTURISTICO W.C;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;10;10
2024;4;141069;50001;50;ACTIVO;DIEGO ANDREY AVILA BLANDON;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;8;14
2024;3;141071;50711;50;ACTIVO;INNOVAR TOURS;META;VISTA HERMOSA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;4;141080;50001;50;ACTIVO;AGRESOTT 4 & COMPAÑIA;META;VILLAVICENCIO;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;1;141083;50001;50;ACTIVO;MARNOLIA CARVAJAL CARVAJAL;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);1;6;10
2024;4;141107;50001;50;ACTIVO;HOTEL ACAPULCO CONFORT;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;12;17
2024;1;141109;50001;50;ACTIVO;CARLOS  EDUARDO  CRUZ  ESPITIA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;2
2024;3;141111;50001;50;ACTIVO;ANA RENATE ORTIZ CORTES;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;3;12
2024;3;141313;50001;50;ACTIVO;HOTEL ARBOLEDA S PLAZA;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;22;22
